source_row_ordinal,repo_ref,commit_sha,run_id,data_release,evidence_role,superseded,authoritative_now,derived_feature_id,production_family,transform,declared_base_fields,effective_spec_dependencies,base_dependency_set,canonical_information_axis,axis_resolution_status,static_independence_status,unit_signature,window_family,transform_family,nested_derivation_depth,algebraic_equivalence,equivalence_group_id,equivalence_group_size_including_referenced_base_when_applicable,monotonic_rank_equivalence_risk,scope_restrictions,formula_provenance_status,formula_evidence,reconstructed_expression,expression_sha256,runtime_loaded,mapping_status,audit_notes
880,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,RollingMin_96h__agg_trade_count_10k_100k,rolling_self_reproduction,RollingMin,agg_trade_count_10k_100k,agg_trade_count_10k_100k,UNRESOLVED::agg_trade_count_10k_100k,UNRESOLVED::agg_trade_count_10k_100k,UNRESOLVED_DEPENDENCY_BUCKET,NOT_IDENTIFIABLE_STATICALLY,COUNT,96H_ROLLING,ROLLING_EXTREME,-1,NONE_PROVEN,,0,NONE_PROVEN,STATIC_SPEC_NOT_PROOF_OF_FULL_MATERIALIZATION;STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;AGG_MASK_REQUIRED,HISTORICAL_DRY_RUN_FORMATTER_AND_REPLAY_EVALUATOR_RECOVERED,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v3_agg_aware_candidate_dry_run.py;git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v5_small_replay_smoke.py,"RollingMin(agg_trade_count_10k_100k,96)",388B5153CE58E8AF5B5658C183489508E7EE2A863C5436FACC80E777D607E9EB,false,STATIC_ONLY,
881,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,RollingMax_96h__agg_trade_count_10k_100k,rolling_self_reproduction,RollingMax,agg_trade_count_10k_100k,agg_trade_count_10k_100k,UNRESOLVED::agg_trade_count_10k_100k,UNRESOLVED::agg_trade_count_10k_100k,UNRESOLVED_DEPENDENCY_BUCKET,NOT_IDENTIFIABLE_STATICALLY,COUNT,96H_ROLLING,ROLLING_EXTREME,-1,NONE_PROVEN,,0,NONE_PROVEN,STATIC_SPEC_NOT_PROOF_OF_FULL_MATERIALIZATION;STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;AGG_MASK_REQUIRED,HISTORICAL_DRY_RUN_FORMATTER_AND_REPLAY_EVALUATOR_RECOVERED,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v3_agg_aware_candidate_dry_run.py;git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v5_small_replay_smoke.py,"RollingMax(agg_trade_count_10k_100k,96)",EBA17AAE7A39F6A5BC4D8583578717F4F9394B0FB8BCB288E3C0CFDF8E407E85,false,STATIC_ONLY,
882,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,ZScore_96h__agg_trade_count_10k_100k,rolling_self_reproduction,ZScore,agg_trade_count_10k_100k,agg_trade_count_10k_100k,UNRESOLVED::agg_trade_count_10k_100k,UNRESOLVED::agg_trade_count_10k_100k,UNRESOLVED_DEPENDENCY_BUCKET,NOT_IDENTIFIABLE_STATICALLY,DIMENSIONLESS,96H_ROLLING,ROLLING_MEAN_THEN_CROSS_SECTIONAL_ZSCORE,-1,NONE_PROVEN,,0,NONE_PROVEN,STATIC_SPEC_NOT_PROOF_OF_FULL_MATERIALIZATION;STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;AGG_MASK_REQUIRED;DECLARED_SAME_SYMBOL_BUT_EXECUTED_CROSS_SECTIONALLY;EFFECTIVE_CORE3_CROSS_SECTIONAL_DOF_AT_MOST_2,HISTORICAL_DRY_RUN_FORMATTER_AND_REPLAY_EVALUATOR_RECOVERED,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v3_agg_aware_candidate_dry_run.py;git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v5_small_replay_smoke.py,"ZScore(TSMean(agg_trade_count_10k_100k,96))",D93AACA661093FAB14C9D32BFAC0712A3AC4AFE0F93E8880CB2C51DA6BEE329D,false,STATIC_ONLY,"historical formatter emits ZScore(TSMean(field,window)); evaluator implements ZScore as row-wise cross-sectional z-score"
883,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,TSMean_4h__agg_trade_count_100k_1m,rolling_self_reproduction,TSMean,agg_trade_count_100k_1m,agg_trade_count_100k_1m,UNRESOLVED::agg_trade_count_100k_1m,UNRESOLVED::agg_trade_count_100k_1m,UNRESOLVED_DEPENDENCY_BUCKET,NOT_IDENTIFIABLE_STATICALLY,COUNT,4H_ROLLING,ROLLING_LOCATION,-1,NONE_PROVEN,,0,NONE_PROVEN,STATIC_SPEC_NOT_PROOF_OF_FULL_MATERIALIZATION;STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;AGG_MASK_REQUIRED,HISTORICAL_DRY_RUN_FORMATTER_AND_REPLAY_EVALUATOR_RECOVERED,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v3_agg_aware_candidate_dry_run.py;git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v5_small_replay_smoke.py,"TSMean(agg_trade_count_100k_1m,4)",138B9848C4C7E1D7E87A8684A2343F3DCEF247F7B0A63BFDC04CF5DBB67F75F9,false,STATIC_ONLY,
884,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,TSStd_4h__agg_trade_count_100k_1m,rolling_self_reproduction,TSStd,agg_trade_count_100k_1m,agg_trade_count_100k_1m,UNRESOLVED::agg_trade_count_100k_1m,UNRESOLVED::agg_trade_count_100k_1m,UNRESOLVED_DEPENDENCY_BUCKET,NOT_IDENTIFIABLE_STATICALLY,COUNT,4H_ROLLING,ROLLING_DISPERSION,-1,NONE_PROVEN,,0,NONE_PROVEN,STATIC_SPEC_NOT_PROOF_OF_FULL_MATERIALIZATION;STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;AGG_MASK_REQUIRED,HISTORICAL_DRY_RUN_FORMATTER_AND_REPLAY_EVALUATOR_RECOVERED,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v3_agg_aware_candidate_dry_run.py;git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v5_small_replay_smoke.py,"TSStd(agg_trade_count_100k_1m,4)",17CA4792A0EBEF4C731913FAED98F9BC916EC22CCAC5C64685FEAC312E2458F1,false,STATIC_ONLY,
885,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,Delta_4h__agg_trade_count_100k_1m,rolling_self_reproduction,Delta,agg_trade_count_100k_1m,agg_trade_count_100k_1m,UNRESOLVED::agg_trade_count_100k_1m,UNRESOLVED::agg_trade_count_100k_1m,UNRESOLVED_DEPENDENCY_BUCKET,NOT_IDENTIFIABLE_STATICALLY,COUNT,4H_ROLLING,TEMPORAL_DIFFERENCE,-1,NONE_PROVEN,,0,NONE_PROVEN,STATIC_SPEC_NOT_PROOF_OF_FULL_MATERIALIZATION;STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;AGG_MASK_REQUIRED,HISTORICAL_DRY_RUN_FORMATTER_AND_REPLAY_EVALUATOR_RECOVERED,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v3_agg_aware_candidate_dry_run.py;git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v5_small_replay_smoke.py,"Delta(agg_trade_count_100k_1m,4)",F055E615BFEE803194846ACD91DBD0B6DB5764BF125E158AC8F7846C21B47C32,false,STATIC_ONLY,
886,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,Decay_4h__agg_trade_count_100k_1m,rolling_self_reproduction,Decay,agg_trade_count_100k_1m,agg_trade_count_100k_1m,UNRESOLVED::agg_trade_count_100k_1m,UNRESOLVED::agg_trade_count_100k_1m,UNRESOLVED_DEPENDENCY_BUCKET,NOT_IDENTIFIABLE_STATICALLY,COUNT,4H_ROLLING,EXPONENTIAL_SMOOTHING,-1,NONE_PROVEN,,0,NONE_PROVEN,STATIC_SPEC_NOT_PROOF_OF_FULL_MATERIALIZATION;STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;AGG_MASK_REQUIRED,HISTORICAL_DRY_RUN_FORMATTER_AND_REPLAY_EVALUATOR_RECOVERED,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v3_agg_aware_candidate_dry_run.py;git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v5_small_replay_smoke.py,"Decay(agg_trade_count_100k_1m,4)",41CB8FF7278B181A527102DD10D592C1ECBD1CF83DDD4F8500882AD3C6DC3AD0,false,STATIC_ONLY,
887,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,RollingMin_4h__agg_trade_count_100k_1m,rolling_self_reproduction,RollingMin,agg_trade_count_100k_1m,agg_trade_count_100k_1m,UNRESOLVED::agg_trade_count_100k_1m,UNRESOLVED::agg_trade_count_100k_1m,UNRESOLVED_DEPENDENCY_BUCKET,NOT_IDENTIFIABLE_STATICALLY,COUNT,4H_ROLLING,ROLLING_EXTREME,-1,NONE_PROVEN,,0,NONE_PROVEN,STATIC_SPEC_NOT_PROOF_OF_FULL_MATERIALIZATION;STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;AGG_MASK_REQUIRED,HISTORICAL_DRY_RUN_FORMATTER_AND_REPLAY_EVALUATOR_RECOVERED,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v3_agg_aware_candidate_dry_run.py;git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v5_small_replay_smoke.py,"RollingMin(agg_trade_count_100k_1m,4)",3AF1485FDCDA482B5CA6478A23A15EF1392D72DC2B42A8301A8D7F3C2E0E2B89,false,STATIC_ONLY,
888,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,RollingMax_4h__agg_trade_count_100k_1m,rolling_self_reproduction,RollingMax,agg_trade_count_100k_1m,agg_trade_count_100k_1m,UNRESOLVED::agg_trade_count_100k_1m,UNRESOLVED::agg_trade_count_100k_1m,UNRESOLVED_DEPENDENCY_BUCKET,NOT_IDENTIFIABLE_STATICALLY,COUNT,4H_ROLLING,ROLLING_EXTREME,-1,NONE_PROVEN,,0,NONE_PROVEN,STATIC_SPEC_NOT_PROOF_OF_FULL_MATERIALIZATION;STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;AGG_MASK_REQUIRED,HISTORICAL_DRY_RUN_FORMATTER_AND_REPLAY_EVALUATOR_RECOVERED,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v3_agg_aware_candidate_dry_run.py;git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v5_small_replay_smoke.py,"RollingMax(agg_trade_count_100k_1m,4)",197AA4B17B58C955E7920CE8BE01D97E36F84CD947F2D3C66828EC5AB7E551A8,false,STATIC_ONLY,
889,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,ZScore_4h__agg_trade_count_100k_1m,rolling_self_reproduction,ZScore,agg_trade_count_100k_1m,agg_trade_count_100k_1m,UNRESOLVED::agg_trade_count_100k_1m,UNRESOLVED::agg_trade_count_100k_1m,UNRESOLVED_DEPENDENCY_BUCKET,NOT_IDENTIFIABLE_STATICALLY,DIMENSIONLESS,4H_ROLLING,ROLLING_MEAN_THEN_CROSS_SECTIONAL_ZSCORE,-1,NONE_PROVEN,,0,NONE_PROVEN,STATIC_SPEC_NOT_PROOF_OF_FULL_MATERIALIZATION;STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;AGG_MASK_REQUIRED;DECLARED_SAME_SYMBOL_BUT_EXECUTED_CROSS_SECTIONALLY;EFFECTIVE_CORE3_CROSS_SECTIONAL_DOF_AT_MOST_2,HISTORICAL_DRY_RUN_FORMATTER_AND_REPLAY_EVALUATOR_RECOVERED,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v3_agg_aware_candidate_dry_run.py;git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v5_small_replay_smoke.py,"ZScore(TSMean(agg_trade_count_100k_1m,4))",6F341170E61C5F689CB034B8749D8206CE25A0222D193842C7FC8F69FCB870D4,false,STATIC_ONLY,"historical formatter emits ZScore(TSMean(field,window)); evaluator implements ZScore as row-wise cross-sectional z-score"
890,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,TSMean_8h__agg_trade_count_100k_1m,rolling_self_reproduction,TSMean,agg_trade_count_100k_1m,agg_trade_count_100k_1m,UNRESOLVED::agg_trade_count_100k_1m,UNRESOLVED::agg_trade_count_100k_1m,UNRESOLVED_DEPENDENCY_BUCKET,NOT_IDENTIFIABLE_STATICALLY,COUNT,8H_ROLLING,ROLLING_LOCATION,-1,NONE_PROVEN,,0,NONE_PROVEN,STATIC_SPEC_NOT_PROOF_OF_FULL_MATERIALIZATION;STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;AGG_MASK_REQUIRED,HISTORICAL_DRY_RUN_FORMATTER_AND_REPLAY_EVALUATOR_RECOVERED,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v3_agg_aware_candidate_dry_run.py;git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v5_small_replay_smoke.py,"TSMean(agg_trade_count_100k_1m,8)",A2DC6C9FD84ADE66A5BF209A1BF736A2B4A245B37D17416CCC9E36B092B96731,false,STATIC_ONLY,
891,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,TSStd_8h__agg_trade_count_100k_1m,rolling_self_reproduction,TSStd,agg_trade_count_100k_1m,agg_trade_count_100k_1m,UNRESOLVED::agg_trade_count_100k_1m,UNRESOLVED::agg_trade_count_100k_1m,UNRESOLVED_DEPENDENCY_BUCKET,NOT_IDENTIFIABLE_STATICALLY,COUNT,8H_ROLLING,ROLLING_DISPERSION,-1,NONE_PROVEN,,0,NONE_PROVEN,STATIC_SPEC_NOT_PROOF_OF_FULL_MATERIALIZATION;STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;AGG_MASK_REQUIRED,HISTORICAL_DRY_RUN_FORMATTER_AND_REPLAY_EVALUATOR_RECOVERED,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v3_agg_aware_candidate_dry_run.py;git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v5_small_replay_smoke.py,"TSStd(agg_trade_count_100k_1m,8)",4A47D621553BBC1AAC12B85472DC8A21D45DE8CD10A2A93F1160AE07F0A03D8B,false,STATIC_ONLY,
892,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,Delta_8h__agg_trade_count_100k_1m,rolling_self_reproduction,Delta,agg_trade_count_100k_1m,agg_trade_count_100k_1m,UNRESOLVED::agg_trade_count_100k_1m,UNRESOLVED::agg_trade_count_100k_1m,UNRESOLVED_DEPENDENCY_BUCKET,NOT_IDENTIFIABLE_STATICALLY,COUNT,8H_ROLLING,TEMPORAL_DIFFERENCE,-1,NONE_PROVEN,,0,NONE_PROVEN,STATIC_SPEC_NOT_PROOF_OF_FULL_MATERIALIZATION;STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;AGG_MASK_REQUIRED,HISTORICAL_DRY_RUN_FORMATTER_AND_REPLAY_EVALUATOR_RECOVERED,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v3_agg_aware_candidate_dry_run.py;git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v5_small_replay_smoke.py,"Delta(agg_trade_count_100k_1m,8)",78832BF3F6ED8DDDA4C3883DEB3A65B0D49BC6440AD9407D72CFB797D6BB360F,false,STATIC_ONLY,
893,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,Decay_8h__agg_trade_count_100k_1m,rolling_self_reproduction,Decay,agg_trade_count_100k_1m,agg_trade_count_100k_1m,UNRESOLVED::agg_trade_count_100k_1m,UNRESOLVED::agg_trade_count_100k_1m,UNRESOLVED_DEPENDENCY_BUCKET,NOT_IDENTIFIABLE_STATICALLY,COUNT,8H_ROLLING,EXPONENTIAL_SMOOTHING,-1,NONE_PROVEN,,0,NONE_PROVEN,STATIC_SPEC_NOT_PROOF_OF_FULL_MATERIALIZATION;STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;AGG_MASK_REQUIRED,HISTORICAL_DRY_RUN_FORMATTER_AND_REPLAY_EVALUATOR_RECOVERED,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v3_agg_aware_candidate_dry_run.py;git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v5_small_replay_smoke.py,"Decay(agg_trade_count_100k_1m,8)",0D0F21A314FFF69DBD3481F5BE184E8AD949DAC55FC81BBB799EDCFE9C4DF4BA,false,STATIC_ONLY,
894,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,RollingMin_8h__agg_trade_count_100k_1m,rolling_self_reproduction,RollingMin,agg_trade_count_100k_1m,agg_trade_count_100k_1m,UNRESOLVED::agg_trade_count_100k_1m,UNRESOLVED::agg_trade_count_100k_1m,UNRESOLVED_DEPENDENCY_BUCKET,NOT_IDENTIFIABLE_STATICALLY,COUNT,8H_ROLLING,ROLLING_EXTREME,-1,NONE_PROVEN,,0,NONE_PROVEN,STATIC_SPEC_NOT_PROOF_OF_FULL_MATERIALIZATION;STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;AGG_MASK_REQUIRED,HISTORICAL_DRY_RUN_FORMATTER_AND_REPLAY_EVALUATOR_RECOVERED,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v3_agg_aware_candidate_dry_run.py;git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v5_small_replay_smoke.py,"RollingMin(agg_trade_count_100k_1m,8)",D77C3952849867EC55235CC3FA4DCB7FA041678DD0EF9E410D9EAFD0956E8815,false,STATIC_ONLY,
895,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,RollingMax_8h__agg_trade_count_100k_1m,rolling_self_reproduction,RollingMax,agg_trade_count_100k_1m,agg_trade_count_100k_1m,UNRESOLVED::agg_trade_count_100k_1m,UNRESOLVED::agg_trade_count_100k_1m,UNRESOLVED_DEPENDENCY_BUCKET,NOT_IDENTIFIABLE_STATICALLY,COUNT,8H_ROLLING,ROLLING_EXTREME,-1,NONE_PROVEN,,0,NONE_PROVEN,STATIC_SPEC_NOT_PROOF_OF_FULL_MATERIALIZATION;STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;AGG_MASK_REQUIRED,HISTORICAL_DRY_RUN_FORMATTER_AND_REPLAY_EVALUATOR_RECOVERED,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v3_agg_aware_candidate_dry_run.py;git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v5_small_replay_smoke.py,"RollingMax(agg_trade_count_100k_1m,8)",F09E89B959DA3C2BBB0138F5E37942FF121B8B8C853CC412E78288BC06DF08E6,false,STATIC_ONLY,
896,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,ZScore_8h__agg_trade_count_100k_1m,rolling_self_reproduction,ZScore,agg_trade_count_100k_1m,agg_trade_count_100k_1m,UNRESOLVED::agg_trade_count_100k_1m,UNRESOLVED::agg_trade_count_100k_1m,UNRESOLVED_DEPENDENCY_BUCKET,NOT_IDENTIFIABLE_STATICALLY,DIMENSIONLESS,8H_ROLLING,ROLLING_MEAN_THEN_CROSS_SECTIONAL_ZSCORE,-1,NONE_PROVEN,,0,NONE_PROVEN,STATIC_SPEC_NOT_PROOF_OF_FULL_MATERIALIZATION;STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;AGG_MASK_REQUIRED;DECLARED_SAME_SYMBOL_BUT_EXECUTED_CROSS_SECTIONALLY;EFFECTIVE_CORE3_CROSS_SECTIONAL_DOF_AT_MOST_2,HISTORICAL_DRY_RUN_FORMATTER_AND_REPLAY_EVALUATOR_RECOVERED,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v3_agg_aware_candidate_dry_run.py;git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v5_small_replay_smoke.py,"ZScore(TSMean(agg_trade_count_100k_1m,8))",0761231D669B46C630C71413FD48857D90ADBC0B4BC8855EDC7AE99C0DF669A7,false,STATIC_ONLY,"historical formatter emits ZScore(TSMean(field,window)); evaluator implements ZScore as row-wise cross-sectional z-score"
897,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,TSMean_12h__agg_trade_count_100k_1m,rolling_self_reproduction,TSMean,agg_trade_count_100k_1m,agg_trade_count_100k_1m,UNRESOLVED::agg_trade_count_100k_1m,UNRESOLVED::agg_trade_count_100k_1m,UNRESOLVED_DEPENDENCY_BUCKET,NOT_IDENTIFIABLE_STATICALLY,COUNT,12H_ROLLING,ROLLING_LOCATION,-1,NONE_PROVEN,,0,NONE_PROVEN,STATIC_SPEC_NOT_PROOF_OF_FULL_MATERIALIZATION;STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;AGG_MASK_REQUIRED,HISTORICAL_DRY_RUN_FORMATTER_AND_REPLAY_EVALUATOR_RECOVERED,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v3_agg_aware_candidate_dry_run.py;git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v5_small_replay_smoke.py,"TSMean(agg_trade_count_100k_1m,12)",1DB846F735D22DD88447248D4A2FBC31EED7470AED950443F5ED2D2D06F55D0F,false,STATIC_ONLY,
898,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,TSStd_12h__agg_trade_count_100k_1m,rolling_self_reproduction,TSStd,agg_trade_count_100k_1m,agg_trade_count_100k_1m,UNRESOLVED::agg_trade_count_100k_1m,UNRESOLVED::agg_trade_count_100k_1m,UNRESOLVED_DEPENDENCY_BUCKET,NOT_IDENTIFIABLE_STATICALLY,COUNT,12H_ROLLING,ROLLING_DISPERSION,-1,NONE_PROVEN,,0,NONE_PROVEN,STATIC_SPEC_NOT_PROOF_OF_FULL_MATERIALIZATION;STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;AGG_MASK_REQUIRED,HISTORICAL_DRY_RUN_FORMATTER_AND_REPLAY_EVALUATOR_RECOVERED,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v3_agg_aware_candidate_dry_run.py;git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v5_small_replay_smoke.py,"TSStd(agg_trade_count_100k_1m,12)",E36DA9FDC145992FAD901966E7727826D31D8C3E7CBAEC183E5DE9C52AE6FABE,false,STATIC_ONLY,
